cnpj_basico;cnpj_ordem;cnpj_dv;nome_fantasia;situacao;data_situacao;data_inicio;cnae_fiscal;bairro;municipio;Nome_Cidade;razao_social;capital_social;porte;opcao_simples;opcao_mei
05381865;0001;69;;04;20190123;20020924;4723700;VILA DOMINGOS LOPES;4305;Carmo da Mata;ANDORRA LANCHES - CATAGUASES LTDA;0,00;01;;
05398275;0001;49;SERENO GAS;08;20150320;20021107;4784900;SERENO;4305;Carmo da Mata;DISTRIBUIDORA DE GAS SERENO LTDA;0,00;01;N;00000000
02053331;0001;15;CONFECCOES H & T;08;19980331;19970804;1412601;POPULAR;4305;Carmo da Mata;NIVALDO MARTINS DOS SANTOS;0,00;05;;
02076159;0001;15;DELICIAS DA VIDA;08;19980430;19970728;5611203;PAMPULHA;4305;Carmo da Mata;LU & ANA LANCHONETE E PIZZARIA LTDA.;0,00;05;;
02076208;0001;10;JUMP LESS;08;19981031;19970814;1412601;VILA MINALDA;4305;Carmo da Mata;SIMONE MACHADO PERASSOL.;0,00;05;;
71174312;0001;60;;08;19960426;19930916;4774100;ZONA RURAL;4305;Carmo da Mata;PERAZIO PATERNOSTER LTDA;0,00;05;;
05440960;0001;96;;08;20130621;20021218;8299799;HAIDEE FAJARDO;4305;Carmo da Mata;SOUZA & AMORIM REPRESENTACOES DE CATAGUASES LTDA;0,00;01;;
05441937;0001;16;NAGIMERITO MOVEIS E ESQUADRIAS;02;20230313;20021216;3101200;VILA DOMINGOS LOPES;4305;Carmo da Mata;MARCIO JOSE DUARTE - CPF 454.026.986-00;20000,00;01;N;00000000
05442457;0001;70;CAES & GATOS;08;20150209;20021211;4789004;HAIDEE FAJARDO;4305;Carmo da Mata;AGROPECUARIA CAES & GATOS CATAGUASES LTDA;0,00;05;;
03776327;0001;48;TECNO ELETRONICA;08;20181128;20000424;4757100;VILA DOMINGOS LOPES;4305;Carmo da Mata;TEREZINHA OLIVEIRA DA SILVA;8000,00;01;N;20160101
00473908;0001;12;H&E VARIEDADES;08;20030911;19950221;4755502;HAIDEE FARJDO;4305;Carmo da Mata;HELION GONCALVES DA SILVA;0,00;05;;
05456545;0001;20;BAR E MERCEARIA N. SRA APARECIDA;08;20210120;20021227;4723700;SERENO;4305;Carmo da Mata;ALEX SANDRO AUGUSTO OLIVEIRA RAMOS;0,00;01;N;00000000
00500639;0003;06;;08;19991216;19991216;4754701;COLINAS;4305;Carmo da Mata;MOVEIS RESENDE DE CATAGUASES LTDA;6000,00;03;S;00000000
00486281;0001;34;;08;19980531;19950307;4774100;CENTRO;4305;Carmo da Mata;JOSE CARLOS MACHADO BARBOSA;0,00;05;;
00582266;0002;70;TECTEL TELEFONIA;08;20070503;20021002;4752100;CENTRO;4305;Carmo da Mata;TECTEL DE LEOPOLDINA LTDA.;120000,00;03;N;00000000
05468662;0001;04;DEPOSITO DE BEBIDAS J. B.;08;20050630;20030108;4635499;CENTRO;4305;Carmo da Mata;ALINE MAIRA DA SILVA SOUZA;0,00;01;;
00856770;0002;11;;08;19960720;19951026;4722901;CENTRO;4305;Carmo da Mata;ACOUGUE TURI - ACU LTDA;0,00;01;;
00519774;0001;23;ROUTE 66;08;20081231;19950324;4781400;CENTRO;4305;Carmo da Mata;XEQUE MATE LTDA;0,00;05;;
00539112;0001;15;PORTO BAR;08;19960430;19950331;0322101;VILA MINALDA;4305;Carmo da Mata;ISAEL ANTONIO TOLEDO;0,00;05;;
00539115;0001;59;;08;20061106;19950329;4781400;BELA VISTA;4305;Carmo da Mata;CONCEICAO APARECIDA OLIVEIRA;0,00;01;;
03853552;0001;30;LANCHONETE MAIS VOCE;04;20190123;20000530;5611203;CENTRO;4305;Carmo da Mata;GOMES E RUY DE ALMEIDA LTDA;0,00;01;;
00546203;0001;88;LANCHONETE E RESTAURANTE GAMACAO;08;20100816;19950405;4723700;PARAISO;4305;Carmo da Mata;SEBASTIAO LUIZ GAMA;0,00;05;;
